facility,operational_capacity,hoc_population,jail_population,total_occupancy,percent_occupied,report_date
SUFFOLK (Nashua Street),453.0,,416.0,416.0,92.0,2020-08-24
SUFFOLK (South Bay),1796.0,492.0,,492.0,27.0,2020-08-24
WORCESTER (HOC / JAIL),822.0,158.0,382.0,540.0,66.0,2020-08-24
BARNSTABLE,300.0,65.0,102.0,167.0,56.0,2020-08-17
BERKSHIRE,292.0,48.0,91.0,139.0,48.0,2020-08-17
BRISTOL (Ash Street),206.0,14.0,83.0,97.0,47.0,2020-08-17
BRISTOL (Dartmouth),304.0,131.0,446.0,577.0,190.0,2020-08-17
BRISTOL (Women's Center),56.0,5.0,18.0,23.0,41.0,2020-08-17
DUKES,19.0,5.0,0.0,5.0,26.0,2020-08-17
ESSEX (Middleton),1291.0,191.0,692.0,883.0,68.0,2020-08-17
