facility,operational_capacity,hoc_population,jail_population,total_occupancy,percent_occupied,report_date
BRISTOL (Women's Center),56.0,4.0,29.0,33.0,59.0,2021-01-18
DUKES,19.0,7.0,0.0,7.0,37.0,2021-01-18
ESSEX (Middleton),1291.0,191.0,720.0,911.0,71.0,2021-01-18
ESSEX (WIT),23.0,7.0,,7.0,30.0,2021-01-18
ESSEX (L.C.A.C.),340.0,70.0,,70.0,21.0,2021-01-18
FRANKLIN,144.0,54.0,77.0,131.0,91.0,2021-01-18
HAMPDEN (HOC / JAIL),1178.0,143.0,511.0,654.0,56.0,2021-01-18
HAMPDEN (W.M.C.A.C.),148.0,26.0,,26.0,18.0,2021-01-18
HAMPDEN (Women's Center),306.0,23.0,50.0,73.0,24.0,2021-01-18
HAMPSHIRE,287.0,31.0,85.0,116.0,40.0,2021-01-18
MIDDLESEX (Billerica),1501.0,153.0,410.0,563.0,38.0,2021-01-18
NORFOLK (Dedham / RT 128),620.0,72.0,295.0,367.0,59.0,2021-01-18
PLYMOUTH,1140.0,89.0,503.0,592.0,52.0,2021-01-18
SUFFOLK (Nashua Street),453.0,,479.0,479.0,106.0,2021-01-18
SUFFOLK (South Bay),1796.0,453.0,,453.0,25.0,2021-01-18
WORCESTER (HOC / JAIL),822.0,147.0,427.0,574.0,70.0,2021-01-18
BARNSTABLE,300.0,80.0,95.0,175.0,58.0,2021-01-11
BERKSHIRE,292.0,53.0,90.0,143.0,49.0,2021-01-11
BRISTOL (Ash Street),206.0,12.0,70.0,82.0,40.0,2021-01-11
BRISTOL (Dartmouth),304.0,117.0,451.0,568.0,187.0,2021-01-11
BRISTOL (Women's Center),56.0,5.0,24.0,29.0,52.0,2021-01-11
DUKES,19.0,6.0,0.0,6.0,32.0,2021-01-11
ESSEX (Middleton),1291.0,194.0,730.0,924.0,72.0,2021-01-11
ESSEX (WIT),23.0,9.0,,9.0,39.0,2021-01-11
ESSEX (L.C.A.C.),340.0,71.0,,71.0,21.0,2021-01-11
FRANKLIN,144.0,57.0,80.0,137.0,95.0,2021-01-11
HAMPDEN (HOC / JAIL),1178.0,139.0,532.0,671.0,57.0,2021-01-11
HAMPDEN (W.M.C.A.C.),148.0,25.0,,25.0,17.0,2021-01-11
HAMPDEN (Women's Center),306.0,25.0,52.0,77.0,25.0,2021-01-11
HAMPSHIRE,287.0,33.0,82.0,115.0,40.0,2021-01-11
MIDDLESEX (Billerica),1501.0,153.0,404.0,557.0,37.0,2021-01-11
NORFOLK (Dedham / RT 128),620.0,81.0,289.0,370.0,60.0,2021-01-11
PLYMOUTH,1140.0,87.0,508.0,595.0,52.0,2021-01-11
SUFFOLK (Nashua Street),453.0,,490.0,490.0,108.0,2021-01-11
SUFFOLK (South Bay),1796.0,458.0,,458.0,26.0,2021-01-11
WORCESTER (HOC / JAIL),822.0,144.0,435.0,579.0,70.0,2021-01-11
BARNSTABLE,300.0,82.0,95.0,177.0,59.0,2021-01-04
BERKSHIRE,292.0,54.0,85.0,139.0,48.0,2021-01-04
BRISTOL (Ash Street),206.0,12.0,64.0,76.0,37.0,2021-01-04
BRISTOL (Dartmouth),304.0,113.0,451.0,564.0,186.0,2021-01-04
BRISTOL (Women's Center),56.0,7.0,21.0,28.0,50.0,2021-01-04
DUKES,19.0,6.0,0.0,6.0,32.0,2021-01-04
ESSEX (Middleton),1291.0,206.0,720.0,926.0,72.0,2021-01-04
ESSEX (WIT),23.0,9.0,,9.0,39.0,2021-01-04
ESSEX (L.C.A.C.),340.0,56.0,,56.0,16.0,2021-01-04
FRANKLIN,144.0,61.0,77.0,138.0,96.0,2021-01-04
HAMPDEN (HOC / JAIL),1178.0,146.0,518.0,664.0,56.0,2021-01-04
HAMPDEN (W.M.C.A.C.),148.0,22.0,,22.0,15.0,2021-01-04
HAMPDEN (Women's Center),306.0,32.0,44.0,76.0,25.0,2021-01-04
HAMPSHIRE,287.0,32.0,85.0,117.0,41.0,2021-01-04
MIDDLESEX (Billerica),1501.0,153.0,393.0,546.0,36.0,2021-01-04
NORFOLK (Dedham / RT 128),620.0,82.0,279.0,361.0,58.0,2021-01-04
PLYMOUTH,1140.0,88.0,511.0,599.0,53.0,2021-01-04
SUFFOLK (Nashua Street),453.0,,494.0,494.0,109.0,2021-01-04
SUFFOLK (South Bay),1796.0,502.0,,502.0,28.0,2021-01-04
WORCESTER (HOC / JAIL),822.0,146.0,418.0,564.0,69.0,2021-01-04
